Sim,K0,Kept,Missing,KeepViews,CLF_Cov,CLF_Set,MinPV_Cov,MinPV_Set,Fisher_Cov,Fisher_Set,AdjF_Cov,AdjF_Set,WAvgL_Cov,WAvgL_Set
0,6,3,3,"[1, 2, 4]",90.4,4.6102,93.07,5.5687,85.97,3.9024,90.14999999999999,4.6524,95.28999999999999,5.8961
0,6,3,3,"[0, 1, 4]",90.60000000000001,4.6272,92.57,5.6691,85.71,4.0208,90.2,4.7652,95.54,6.1169
0,6,3,3,"[0, 2, 3]",90.66,4.5379,92.82000000000001,5.5838,85.8,3.8758,90.4,4.6106,95.53,6.0226
0,6,3,3,"[0, 1, 5]",90.3,4.9604,92.47,5.9136,85.92,4.2484,90.5,5.0086,95.32000000000001,6.3013
0,6,3,3,"[1, 3, 4]",90.35,4.5625,93.27,5.5668,85.7,3.8181,90.3,4.5811,95.12,5.8133
0,6,3,3,"[2, 3, 4]",90.05,4.5588,93.62,5.6125,85.54,3.8269,90.5,4.6169,94.82000000000001,5.7124
0,6,2,4,"[0, 2]",90.49000000000001,5.0799,91.86999999999999,5.5421,87.97,4.5062,89.97,4.882,94.56,6.0193
0,6,2,4,"[3, 5]",89.51,4.9396,92.14,5.5264,88.02,4.4958,90.60000000000001,4.9663,94.48,5.9453
0,6,2,4,"[2, 4]",89.97,4.8531,92.54,5.406,88.09,4.3436,90.55,4.7501,94.26,5.7242
0,6,2,4,"[1, 3]",90.57,4.9405,92.12,5.3608,87.8,4.2592,90.12,4.6743,94.03,5.62
0,6,2,4,"[0, 1]",90.68,5.28,91.94,5.8293,87.12,4.6455,89.63,5.1019,93.31,5.9144
0,6,2,4,"[0, 5]",90.16999999999999,5.7141,92.09,6.0479,87.92999999999999,4.9111,90.56,5.3648,94.37,6.3228
1,6,6,0,"[0, 1, 2, 3, 4, 5]",90.83,4.1865,94.03,5.9736,80.97999999999999,3.2178,89.96,4.5495,96.26,6.1922
1,6,5,1,"[0, 1, 2, 3, 4]",90.68,4.304,93.21000000000001,5.6797,81.67999999999999,3.3288,89.96,4.5572,95.98,6.0342
1,6,5,1,"[0, 1, 2, 3, 5]",90.61,4.241,93.39,5.7458,81.92,3.3582,90.16999999999999,4.5886,96.03,6.1714
1,6,5,1,"[0, 1, 2, 4, 5]",90.69,4.2474,93.33,5.7642,82.07,3.4165,90.06,4.6075,96.07,6.2177
1,6,5,1,"[0, 1, 3, 4, 5]",90.39,4.3137,93.47999999999999,5.8878,82.06,3.4556,89.92999999999999,4.6587,96.14,6.2266
1,6,5,1,"[0, 2, 3, 4, 5]",90.86,4.2996,93.41000000000001,5.732,81.91000000000001,3.3952,90.24,4.5933,96.19,6.1963
1,6,5,1,"[1, 2, 3, 4, 5]",91.01,4.3132,93.55,5.7313,81.95,3.3463,90.10000000000001,4.5509,96.06,6.0619
1,6,4,2,"[0, 2, 4, 5]",90.53999999999999,4.4379,93.08999999999999,5.6749,83.63000000000001,3.6556,90.16999999999999,4.6718,95.96000000000001,6.2285
